,show_type,title,ori_country,genre,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,Year,Month
5652,Movie,Work It,USA,Comedy,True,6.1,47.11797752808989,SWE,https://flixpatrol.com/title/work-it-2020,EUR,2020,8
5653,TV Show,The Umbrella Academy,USA,Superhero,True,8.3,82.0,SWE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
5654,Movie,Mad Max: Fury Road,USA,Science Fiction,False,8.2,97.0,SWE,https://flixpatrol.com/title/mad-max-fury-road,EUR,2015,5
5656,Movie,The Kissing Booth 2,United Kingdom,Romance,True,6.2,28.0,SWE,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7
5658,Movie,Venom,USA,Superhero,False,7.1,29.0,SWE,https://flixpatrol.com/title/venom-2018,EUR,2018,10
5659,TV Show,Cursed,USA,Fantasy,True,5.1,69.0,SWE,https://flixpatrol.com/title/cursed-2020,EUR,2020,7
5660,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,SWE,https://flixpatrol.com/title/the-old-guard,EUR,2020,7
5661,TV Show,Snowpiercer,USA,Science Fiction,True,6.1,62.0,SWE,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5
5662,Movie,It: Chapter 2,USA,Horror,False,7.0,63.0,SWE,https://flixpatrol.com/title/it-chapter-2,EUR,2019,9
5663,TV Show,Warrior Nun,USA,Fantasy,True,6.9,51.81,SWE,https://flixpatrol.com/title/warrior-nun,EUR,2020,7
5664,Movie,Eurovision Song Contest: The Story of Fire Saga,USA,Comedy,True,7.8,63.0,SWE,https://flixpatrol.com/title/eurovision-song-contest-the-story-of-fire-saga,EUR,2020,6
5665,TV Show,Unsolved Mysteries,USA,Documentary,True,8.0,74.0,SWE,https://flixpatrol.com/title/unsolved-mysteries-2020,EUR,2020,7
5666,Movie,365 Days,Poland,Romance,False,3.5,0.0,SWE,https://flixpatrol.com/title/365-days,EUR,2020,6
5667,TV Show,The Order,USA,Fantasy,True,6.9,100.0,SWE,https://flixpatrol.com/title/the-order-2019,EUR,2019,3
5671,TV Show,13 Reasons Why,USA,Drama,True,8.4,39.0,SWE,https://flixpatrol.com/title/13-reasons-why,EUR,2017,3
5672,Movie,Get Hard,USA,Comedy,False,6.1,29.0,SWE,https://flixpatrol.com/title/get-hard,EUR,2015,3
5673,TV Show,Space Force,USA,Comedy,True,7.0,41.0,SWE,https://flixpatrol.com/title/space-force,EUR,2020,5
5674,Movie,Johnny English Strikes Again,United Kingdom,Comedy,False,6.6,34.0,SWE,https://flixpatrol.com/title/johnny-english-3,EUR,2018,9
5676,Movie,Bumblebee,USA,Science Fiction,False,7.3,93.0,SWE,https://flixpatrol.com/title/bumblebee,EUR,2018,12
5677,Documentary TV,The Last Dance,USA,Documentary,True,9.4,97.0,SWE,https://flixpatrol.com/title/the-last-dance,EUR,2020,4
5678,Movie,The Wrong Missy,USA,Comedy,True,5.6,25.0,SWE,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5
5680,Movie,Focus,USA,Crime,False,6.6,56.0,SWE,https://flixpatrol.com/title/focus,EUR,2015,2
5682,Movie,Extraction,USA,Action,True,7.0,68.0,SWE,https://flixpatrol.com/title/extraction-2020,EUR,2020,4
5683,TV Show,Never Have I Ever,USA,Comedy,True,7.8,98.0,SWE,https://flixpatrol.com/title/never-have-i-ever,EUR,2020,4
5684,Movie,Despicable Me 2,USA,Animated,False,7.4,73.0,SWE,https://flixpatrol.com/title/despicable-me-2,EUR,2013,6
5685,TV Show,Too Hot to Handle,USA,Reality-Show,True,4.2,37.0,SWE,https://flixpatrol.com/title/too-hot-to-handle,EUR,2020,4
5686,Movie,Code 8,Canada,Science Fiction,False,6.1,79.0,SWE,https://flixpatrol.com/title/code-8,EUR,2019,12
5687,Documentary TV,"Tiger King: Murder, Mayhem and Madness",USA,Documentary,True,8.1,36.416666666666664,SWE,https://flixpatrol.com/title/tiger-king-murder-mayhem-and-madness,EUR,2020,3
5688,Movie,Coffee & Kareem,USA,Comedy,True,5.0,19.0,SWE,https://flixpatrol.com/title/coffee-kareem,EUR,2020,4
5690,Movie,Godzilla: King of the Monsters,USA,Science Fiction,False,6.7,43.0,SWE,https://flixpatrol.com/title/godzilla-king-of-the-monsters-2019,EUR,2019,5
5692,Movie,The Platform,Spain,Science Fiction,True,7.3,30.72,SWE,https://flixpatrol.com/title/the-platform,EUR,2020,3
5694,Movie,Train to Busan,South Korea,Horror,False,7.5,94.0,THA,https://flixpatrol.com/title/train-to-busan,ASI,2016,7
5699,TV Show,It's Okay to Not Be Okay,South Korea,Drama,True,9.0,0.0,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI,2020,6
