,Title,Type,Premiere,Genre,WM
110,Alice in Borderland,TV Show,2020.0,Thriller,92.2
111,Cocomelon,TV Show,2020.0,Animation,91.4
112,Firefly Lane,TV Show,2021.0,Drama,91.2
113,Les Combattantes,TV Show,2022.0,War,90.8
114,Formula 1: Drive to Survive,TV Show,2019.0,Documentary,90.2
115,Sweet Tooth,TV Show,2021.0,Superhero,89.0
116,S.W.A.T.,TV Show,2017.0,Crime,88.6
117,Murder Mystery,Movie,2019.0,Comedy,87.9
118,True Beauty,TV Show,2020.0,Comedy,87.3
119,Squid Game,TV Show,2021.0,Thriller,87.2
120,Little Angel,TV Show,2022.0,Animation,86.2
121,Manifest,TV Show,2018.0,Thriller,86.2
122,Extraction,Movie,2020.0,Action,86.1
123,Lucifer,TV Show,2016.0,Superhero,86.1
124,Lady Voyeur,TV Show,2023.0,Crime,86.0
125,Woman of the Dead,TV Show,2022.0,Crime,85.4
126,The Law According to Lidia Poët,TV Show,2023.0,Drama,85.0
127,Florida Man,TV Show,2023.0,Crime,84.6
128,Lucifer,TV Show,2016.0,Superhero,84.4
129,Shahmaran,TV Show,2023.0,Fantasy,83.6
130,Breaking Bad,TV Show,2008.0,Crime,83.2
131,The Last Kingdom: Seven Kings Must Die,Movie,2023.0,History,83.2
132,Selling Sunset,TV Show,2019.0,Reality-Show,82.8
133,Cocomelon,TV Show,2020.0,Animation,82.5
134,Suits,TV Show,2011.0,Drama,82.5
135,Sam & Cat,TV Show,2013.0,Comedy,82.4
136,Gilmore Girls,TV Show,2000.0,Drama,82.1
137,Sonic Prime,TV Show,2022.0,Animation,82.1
138,Peppa Pig,TV Show,2004.0,Animation,81.8
139,Manifest,TV Show,2018.0,Thriller,81.7
140,Roald Dahl's Matilda the Musical,Movie,2022.0,Musical,81.0
141,Better Call Saul,TV Show,2015.0,Crime,80.8
142,Sing,Movie,2016.0,Animation,80.5
143,Fighting Spirit,TV Show,2000.0,Animation,80.3
144,All Quiet on the Western Front,Movie,2022.0,War,80.0
145,Hasta el cielo: La serie,TV Show,2023.0,Crime,79.7
146,Alpha Males,TV Show,2022.0,Comedy,78.2
147,Record of Ragnarok,TV Show,2021.0,Animation,78.2
148,Chupa,Movie,2023.0,Adventure,77.8
149,Stranger Things,TV Show,2016.0,Thriller,77.8
150,PAW Patrol: The Movie,Movie,2021.0,Animation,77.2
151,Sing 2,Movie,2021.0,Animation,76.6
152,The Crown,TV Show,2016.0,History,76.3
153,Next in Fashion,TV Show,2020.0,Reality-Show,75.7
154,Gilmore Girls,TV Show,2000.0,Drama,75.2
155,Lucifer,TV Show,2016.0,Superhero,75.2
156,The Boss Baby,Movie,2017.0,Animation,75.1
157,Treason,TV Show,2022.0,Crime,74.3
158,Trolls,Movie,2016.0,Animation,73.4
159,Blood Ties,TV Show,2022.0,Drama,73.3
160,Money Heist,TV Show,2017.0,Action,73.1
161,Rough Diamonds,TV Show,2023.0,Crime,72.8
162,Vincenzo,TV Show,2021.0,Action,72.8
163,The Walking Dead,TV Show,2010.0,Horror,72.2
164,The Witcher,TV Show,2019.0,Fantasy,72.2
165,Gabby's Dollhouse,TV Show,2021.0,Animation,71.6
166,The Walking Dead,TV Show,2010.0,Horror,71.6
167,Carrossel,TV Show,2012.0,Drama,71.3
168,Gilmore Girls,TV Show,2000.0,Drama,71.3
169,Red Rose,TV Show,2022.0,Drama,71.1
170,Fauda,TV Show,2015.0,Action,71.0
171,New Amsterdam,TV Show,2018.0,Drama,70.6
172,Gilmore Girls,TV Show,2000.0,Drama,69.9
173,Gilmore Girls,TV Show,2000.0,Drama,69.8
174,The Blacklist,TV Show,2013.0,Crime,69.7
175,Divorce Attorney Shin,TV Show,2023.0,Drama,69.5
176,Stranger Things,TV Show,2016.0,Thriller,69.2
177,Hometown Cha-Cha-Cha,TV Show,2021.0,Comedy,69.0
178,Love Is Blind,TV Show,2020.0,Reality-Show,68.9
179,Kill Boksoon,Movie,2023.0,Thriller,68.5
180,The Thundermans,TV Show,2013.0,Science Fiction,68.5
181,The Flash,TV Show,2014.0,Superhero,68.2
182,Red Notice,Movie,2021.0,Action,68.1
183,Henry Danger,TV Show,2014.0,Comedy,67.8
184,The Queen of Flow,TV Show,2018.0,Drama,67.8
185,The Walking Dead,TV Show,2010.0,Horror,67.7
186,Viking Wolf,Movie,2022.0,Horror,67.5
187,Designated Survivor,TV Show,2016.0,Action,67.2
188,Bebefinn,TV Show,2022.0,,67.1
189,Hotel Transylvania 2,Movie,2015.0,Animation,67.0
190,Stranger Things,TV Show,2016.0,Thriller,67.0
191,Masha and the Bear,TV Show,2009.0,Animation,66.7
192,Outlander,TV Show,2014.0,Drama,66.5
193,Grizzy & the Lemmings,TV Show,2016.0,Animation,66.0
194,Single’s Inferno,TV Show,2021.0,Reality-Show,65.9
195,The Witcher: Blood Origin,TV Show,2022.0,Fantasy,65.3
196,The Nurse,TV Show,2023.0,Crime,65.2
197,The Watcher,TV Show,2022.0,Thriller,64.4
198,Jumanji: The Next Level,Movie,2019.0,Adventure,64.3
199,Suits,TV Show,2011.0,Drama,64.2
200,Gilmore Girls,TV Show,2000.0,Drama,63.9
201,Terzi,TV Show,2023.0,Thriller,63.9
202,All American,TV Show,2018.0,Drama,63.7
203,Peppa Pig,TV Show,2004.0,Animation,63.7
204,The Blacklist,TV Show,2013.0,Crime,63.5
205,Dahmer – Monster: The Jeffrey Dahmer Story,TV Show,2022.0,Crime,63.5
206,Narvik,Movie,2022.0,War,63.1
207,Home,Movie,2015.0,Animation,62.8
208,The Sea Beast,Movie,2022.0,Animation,62.7
209,The Walking Dead,TV Show,2010.0,Horror,62.3
210,Harry & Meghan,TV Show,2022.0,Documentary,62.0
211,The Walking Dead,TV Show,2010.0,Horror,62.0
212,My Dad the Bounty Hunter,TV Show,2023.0,Animation,61.8
213,Dog Gone,Movie,2023.0,Drama,61.6
214,Maid,TV Show,2021.0,Drama,61.5
215,Pasión de gavilanes,TV Show,2003.0,Drama,61.5
216,A Man Called Otto,Movie,2022.0,Drama,61.3
217,Peaky Blinders,TV Show,2013.0,Drama,61.1
218,Victorious,TV Show,2010.0,Comedy,61.1
219,Never Have I Ever,TV Show,2020.0,Comedy,61.0
220,THE DAYS,TV Show,2023.0,Drama,60.8
221,La primera vez,TV Show,2023.0,Drama,60.6
222,Unseen,TV Show,2023.0,Crime,60.1
223,Narcos,TV Show,2015.0,Drama,59.9
224,The Walking Dead,TV Show,2010.0,Horror,59.8
225,Madoff: The Monster of Wall Street,TV Show,2023.0,Documentary,59.6
226,The Witcher,TV Show,2019.0,Fantasy,59.3
227,Young Lady and Gentleman,TV Show,2021.0,Comedy,58.5
228,Sky Rojo,TV Show,2021.0,Crime,58.5
229,Miraculous: Tales of Ladybug & Cat Noir,TV Show,2015.0,Animation,58.3
230,Never Have I Ever,TV Show,2020.0,Comedy,58.3
231,The Gray Man,Movie,2022.0,Action,58.3
232,S.W.A.T.,TV Show,2017.0,Crime,57.9
233,One Piece Episode of East Blue,Movie,2017.0,Animation,57.8
234,Brooklyn Nine-Nine,TV Show,2013.0,Comedy,57.5
235,New Amsterdam,TV Show,2018.0,Drama,57.5
236,Workin' Moms,TV Show,2017.0,Comedy,57.5
237,Barbie: Life in the Dreamhouse,TV Show,2012.0,Animation,57.4
238,The Walking Dead,TV Show,2010.0,Horror,57.4
239,The Blacklist,TV Show,2013.0,Crime,57.0
240,The Sandman,TV Show,2022.0,Superhero,56.7
241,True Spirit,Movie,2023.0,Adventure,56.7
242,Cocomelon,TV Show,2020.0,Animation,56.6
243,Gilmore Girls,TV Show,2000.0,Drama,56.5
244,The Strays,Movie,2023.0,Thriller,56.5
245,Suits,TV Show,2011.0,Drama,56.4
246,The Croods,Movie,2013.0,Animation,56.4
247,Grizzy & the Lemmings,TV Show,2016.0,Animation,56.3
248,The Empress,TV Show,2022.0,History,56.0
249,Matilda,Movie,1996.0,Comedy,55.7
250,Outlast,TV Show,2023.0,Reality-Show,55.5
251,The Good Doctor,TV Show,2017.0,Drama,55.5
252,Cocomelon,TV Show,2020.0,Animation,55.2
253,Jane the Virgin,TV Show,2014.0,Comedy,55.2
254,The Blacklist,TV Show,2013.0,Crime,55.2
255,Vinland Saga,TV Show,2019.0,Animation,55.1
256,The Queen of Flow,TV Show,2018.0,Drama,55.0
